ticket_id,account_contact,ticket_status,ticket_priority,first_response_time,time_to_resolution,customer_satisfaction_rating
1,carrollallison@example.com,Pending Customer Response,Critical,2023-06-01 12:15:36,,
2,clarkeashley@example.com,Pending Customer Response,Critical,2023-06-01 16:45:38,,
3,gonzalestracy@example.com,Closed,Low,2023-06-01 11:14:38,2023-06-01 18:05:38,3.0
4,bradleyolson@example.org,Closed,Low,2023-06-01 07:29:40,2023-06-01 01:57:40,3.0
5,bradleymark@example.com,Closed,Low,2023-06-01 00:12:42,2023-06-01 19:53:42,1.0
6,sheenasmith@example.com,Open,Low,,,
7,donaldkeith@example.org,Open,Critical,,,
8,joelwilliams@example.com,Open,Critical,,,
9,joshua24@example.com,Pending Customer Response,Low,2023-06-01 10:32:47,,
10,clopez@example.com,Pending Customer Response,Critical,2023-06-01 09:25:48,,
11,mbrown@example.org,Closed,High,2023-06-01 17:46:49,2023-05-31 23:51:49,1.0
12,davisjohn@example.net,Closed,High,2023-06-01 12:05:51,2023-06-01 09:27:51,1.0
13,jensenwilliam@example.net,Pending Customer Response,Low,2023-06-01 19:03:53,,
14,gwendolyn51@example.net,Pending Customer Response,Low,2023-06-01 20:34:54,,
15,medinasteven@example.net,Closed,High,2023-06-01 06:22:55,2023-05-31 23:08:55,4.0
16,amy41@example.net,Pending Customer Response,High,2023-06-01 15:09:57,,
17,watkinsbarbara@example.com,Closed,Critical,2023-06-01 19:46:59,2023-06-01 15:58:59,4.0
18,mooredeborah@example.org,Pending Customer Response,High,2023-06-01 21:05:01,,
19,brenda20@example.net,Open,High,,,
20,jameslopez@example.com,Closed,Low,2023-06-01 00:46:04,2023-06-01 20:29:04,5.0
21,rogermcgrath@example.net,Pending Customer Response,High,2023-06-01 05:08:05,,
22,zbond@example.net,Pending Customer Response,Critical,2023-05-31 23:57:07,,
23,ljohnson@example.org,Open,Medium,,,
24,carlsonmatthew@example.org,Pending Customer Response,Low,2023-06-01 09:06:09,,
25,lbarron@example.org,Open,Critical,,,
26,johnstonbeth@example.com,Pending Customer Response,Medium,2023-06-01 19:02:12,,
27,pmercado@example.org,Pending Customer Response,Low,2023-06-01 20:02:13,,
28,jeffersonmichael@example.net,Open,High,,,
29,garciastacy@example.com,Closed,Critical,2023-05-31 23:17:17,2023-06-01 06:03:17,5.0
30,shericase@example.net,Closed,Medium,2023-06-01 00:54:17,2023-06-01 18:23:17,1.0
31,jessicahenderson@example.net,Open,Low,,,
32,zstewart@example.org,Closed,Medium,2023-06-01 06:42:21,2023-06-01 07:16:21,3.0
33,greenkeith@example.net,Pending Customer Response,Medium,2023-06-01 19:36:21,,
34,darlenelee@example.org,Closed,Critical,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0
35,fernandezmark@example.org,Pending Customer Response,Low,2023-06-01 20:50:24,,
36,jessica10@example.org,Closed,High,2023-06-01 07:56:25,2023-06-01 00:14:25,1.0
37,katherinehoward@example.net,Pending Customer Response,Medium,2023-06-01 15:51:28,,
38,elizabethlamb@example.com,Open,Medium,,,
39,victor62@example.net,Closed,Critical,2023-06-01 18:45:30,2023-05-31 21:53:30,3.0
40,stevenburns@example.net,Pending Customer Response,Medium,2023-05-31 22:19:32,,
41,shawn54@example.net,Pending Customer Response,Low,2023-06-01 09:11:33,,
42,sheila78@example.org,Closed,Critical,2023-06-01 20:25:34,2023-06-01 14:43:34,3.0
43,woodmargaret@example.org,Pending Customer Response,Medium,2023-06-01 18:41:35,,
44,abowen@example.org,Open,Low,,,
45,laura33@example.org,Closed,Critical,2023-06-01 05:58:39,2023-06-01 03:19:39,2.0
46,david40@example.org,Open,Low,,,
47,abigail06@example.com,Closed,High,2023-06-01 03:43:43,2023-06-01 09:24:43,1.0
48,bevans@example.org,Closed,Medium,2023-06-01 07:16:45,2023-06-01 05:59:45,1.0
49,juliepowers@example.org,Open,High,,,
50,thomas46@example.net,Open,Medium,,,
51,ramirezphilip@example.net,Open,Medium,,,
52,wvargas@example.com,Closed,Medium,2023-06-01 16:21:49,2023-06-01 10:31:49,3.0
53,hgriffin@example.org,Closed,High,2023-06-01 01:54:49,2023-06-01 20:59:49,3.0
54,sabrina61@example.org,Closed,Low,2023-06-01 00:39:50,2023-06-01 10:25:50,4.0
55,natasha18@example.com,Pending Customer Response,Low,2023-06-01 07:25:51,,
56,williamscynthia@example.org,Pending Customer Response,Critical,2023-06-01 11:14:53,,
57,mcgeebrandon@example.org,Pending Customer Response,Medium,2023-06-01 10:33:53,,
58,pthomas@example.org,Open,Critical,,,
59,lwilliamson@example.net,Closed,Medium,2023-06-01 11:56:57,2023-06-01 04:45:57,5.0
60,andrew28@example.org,Closed,Medium,2023-06-01 19:50:58,2023-06-01 00:38:58,3.0
61,hannahstephens@example.com,Closed,Medium,2023-06-01 00:18:00,2023-06-01 11:55:00,1.0
62,akelly@example.net,Pending Customer Response,Critical,2023-06-01 01:32:02,,
63,floresbryan@example.net,Closed,High,2023-05-31 23:37:04,2023-06-01 12:41:04,4.0
64,tiffany87@example.com,Pending Customer Response,High,2023-06-01 07:07:05,,
65,jacob67@example.net,Open,Medium,,,
66,perezdana@example.org,Pending Customer Response,Medium,2023-05-31 22:38:07,,
67,gillespiegeorge@example.com,Closed,High,2023-06-01 05:06:08,2023-06-01 10:17:08,5.0
68,pwilson@example.com,Pending Customer Response,Low,2023-06-01 21:04:10,,
69,jbranch@example.net,Pending Customer Response,Critical,2023-05-31 23:00:12,,
70,william07@example.org,Closed,High,2023-06-01 11:57:12,2023-05-31 22:51:12,1.0
71,gabriel83@example.com,Pending Customer Response,Medium,2023-05-31 23:49:14,,
72,calvarez@example.org,Open,Medium,,,
73,epatel@example.org,Closed,Low,2023-06-01 04:35:16,2023-06-01 03:17:16,4.0
74,fbenjamin@example.org,Closed,Critical,2023-06-01 21:31:17,2023-06-01 02:24:17,3.0
75,donaldroberts@example.net,Open,Critical,,,
76,cooperthomas@example.com,Closed,Critical,2023-06-01 14:43:20,2023-06-01 02:30:20,1.0
77,brookeross@example.net,Open,Critical,,,
78,nicholsdouglas@example.org,Closed,Low,2023-06-01 19:16:24,2023-06-01 15:21:24,5.0
79,vgarcia@example.com,Pending Customer Response,Medium,2023-06-01 16:57:26,,
80,hmccann@example.com,Pending Customer Response,Critical,2023-06-01 11:27:28,,
81,dclark@example.net,Pending Customer Response,Critical,2023-06-01 07:27:28,,
82,gonzalezlarry@example.org,Pending Customer Response,Medium,2023-06-01 11:37:29,,
83,kimjesse@example.com,Closed,Low,2023-06-01 05:40:30,2023-06-01 20:35:30,1.0
84,dsilva@example.org,Pending Customer Response,Critical,2023-06-01 00:24:32,,
85,kaylapham@example.com,Open,Medium,,,
86,cschmidt@example.com,Open,High,,,
87,kimberlyhudson@example.com,Closed,Critical,2023-06-01 18:03:35,2023-06-01 06:23:35,2.0
88,vaustin@example.org,Pending Customer Response,High,2023-06-01 19:21:36,,
89,chelsea84@example.org,Open,Critical,,,
90,hinescarrie@example.org,Closed,Medium,2023-05-31 23:17:40,2023-06-01 03:09:40,5.0
91,jamesbaxter@example.com,Pending Customer Response,High,2023-06-01 07:15:41,,
92,tyler12@example.net,Pending Customer Response,Low,2023-06-01 00:14:43,,
93,paul73@example.com,Pending Customer Response,Low,2023-06-01 15:57:45,,
94,michael25@example.net,Open,Low,,,
95,davidcox@example.org,Open,Critical,,,
96,davisnatalie@example.net,Closed,High,2023-06-01 00:08:49,2023-06-01 18:39:49,5.0
97,vanessa39@example.net,Open,High,,,
98,deleonedward@example.net,Pending Customer Response,High,2023-06-01 01:55:51,,
99,sheryldawson@example.org,Closed,High,2023-06-01 07:05:53,2023-06-01 14:45:53,5.0
